trueClass/classifierOutput,alt.atheism,comp.graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.windows.x,misc.forsale,rec.autos,rec.motorcycles,rec.sport.baseball,rec.sport.hockey,sci.crypt,sci.electronics,sci.med,sci.space,soc.religion.christian,talk.politics.guns,talk.politics.mideast,talk.politics.misc,talk.religion.misc,REJECT
alt.atheism,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,151
comp.graphics,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
comp.os.ms-windows.misc,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,175
comp.sys.ibm.pc.hardware,0,1,3,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,181
comp.sys.mac.hardware,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,179
comp.windows.x,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
misc.forsale,0,0,0,1,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,170
rec.autos,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,179
rec.motorcycles,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,177
rec.sport.baseball,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,177
rec.sport.hockey,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,175
sci.crypt,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,190
sci.electronics,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,191
sci.med,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,191
sci.space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,192
soc.religion.christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,181
talk.politics.guns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,175
talk.politics.mideast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,194
talk.politics.misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16,21,139
talk.religion.misc,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,20,166

