vocabulary_size,classifier_accuracy
100,0.52956
200,0.587925
300,0.634969
400,0.648805
500,0.656604
600,0.666164
700,0.666667
800,0.673962
900,0.673711
1000,0.671195
1100,0.670692
1200,0.670692
1300,0.672453
1400,0.672956
1500,0.669686
1600,0.667673
1700,0.664151
1800,0.660377
1900,0.653836
2000,0.642516
2000,0.642516
3000,0.59195
4000,0.547421
5000,0.507421
6000,0.461635
7000,0.432704
8000,0.400503
9000,0.376855
10000,0.349182
11000,0.330566
12000,0.314717
13000,0.29434
14000,0.28478
15000,0.265912
16000,0.256855
17000,0.243522
18000,0.23195
19000,0.225409
20000,0.219874
21000,0.210818
22000,0.201006
23000,0.194717
24000,0.193459
25000,0.187421
26000,0.180126
27000,0.17434
28000,0.171824
29000,0.167044
30000,0.165535
31000,0.164277
32000,0.163522
33000,0.158491
34000,0.156478
35000,0.154717
36000,0.153208
37000,0.150692
38000,0.148679
39000,0.147925
40000,0.147421
41000,0.146918
42000,0.146415
43000,0.145912
44000,0.14566
45000,0.14566
46000,0.145409
47000,0.140377
48000,0.138113
49000,0.136604
50000,0.136604
51000,0.134843
52000,0.133836
53000,0.133585
54000,0.132327
55000,0.131824
56000,0.131321
57000,0.129811
58000,0.129057
59000,0.129057
60000,0.128553
61000,0.128302
62000,0.128302
63000,0.12805
64000,0.12805
65000,0.127799
66000,0.127044
67000,0.126541
68000,0.126038
69000,0.126038
70000,0.126038
71000,0.125535
72000,0.125535
73000,0.12478
74000,0.124528
75000,0.123774
76000,0.123522
77000,0.123522
78000,0.123522
79000,0.123019
80000,0.122516
81000,0.122516
82000,0.122264
83000,0.122264
84000,0.122264
85000,0.122264
86000,0.122264
87000,0.121761
88000,0.121761
89000,0.121761
90000,0.121761
91000,0.121761
92000,0.121509
93000,0.121761
